"","female","married","edu_high","inc_high","professional","attend_service","perceived_diversity","worried_corona","foreign_born","econ_bad","imm_contact","rally","age"
"153",0,1,1,0,0,1,16,3,0,2,0.4,9.09090909090909,79
"154",0,1,1,0,0,1,16,2,0,2,0.2,18.1818181818182,30
"155",0,0,1,0,0,1,50,1,0,3,0.2,81.8181818181818,70
"156",1,1,0,0,0,2,42,2,0,2,0,0,81
"157",1,1,0,0,0,NA,NA,4,0,3,0.6,27.2727272727273,55
"158",0,0,1,1,0,1,34,3,0,NA,0.8,0,26
"159",1,1,1,1,0,1,6,4,0,3,0.8,0,43
"160",0,1,0,0,0,2,30,2,0,2,0.2,27.2727272727273,70
"161",1,0,1,0,0,1,50,4,0,3,0,0,44
"162",1,1,1,1,0,2,2,1,0,2,0,36.3636363636364,43
"163",0,1,0,0,0,5,44,3,0,2,0.8,27.2727272727273,69
"164",1,0,0,0,0,1,30,4,0,3,0,9.09090909090909,44
"165",0,1,0,0,0,2,33,2,0,2,0,0,72
"166",1,0,1,0,0,1,27,2,0,2,0,0,59
"167",0,1,0,0,0,2,23,2,0,2,0.2,9.09090909090909,66
"168",1,0,0,0,0,1,25,4,0,2,1,72.7272727272727,69
"169",0,1,1,1,0,1,20,3,0,2,0.8,45.4545454545455,38
"170",0,1,0,1,0,1,32,2,0,2,0.2,36.3636363636364,62
"171",0,0,1,0,0,1,30,4,0,2,0.4,63.6363636363636,36
"172",1,1,1,0,0,2,16,3,0,2,0.6,18.1818181818182,43
"173",0,0,0,0,0,1,38,3,0,2,0.2,9.09090909090909,33
"174",0,1,1,0,1,1,25,2,0,2,0.8,0,61
"175",1,1,1,0,1,1,35,1,0,3,1,18.1818181818182,52
"176",1,0,1,0,1,1,31,2,0,2,0.8,0,42
"177",1,0,1,1,0,2,61,4,0,3,0.2,81.8181818181818,36
"178",1,1,0,0,0,2,8,2,0,2,0.8,0,67
"179",1,0,1,0,0,1,35,1,0,3,0,72.7272727272727,29
"180",0,1,0,0,0,2,46,3,0,2,0,9.09090909090909,70
"181",1,1,0,0,0,1,20,2,0,2,0.2,0,64
"182",1,0,1,0,1,1,25,2,0,2,0.4,27.2727272727273,29
"183",1,1,0,0,0,2,6,3,0,2,0,18.1818181818182,59
"184",1,1,1,1,0,2,26,3,0,2,0.2,0,70
"185",1,1,1,0,0,3,22,4,0,3,0,36.3636363636364,55
"186",1,1,1,1,1,2,9,2,0,2,0.4,0,44
"187",1,0,1,1,0,3,48,2,0,2,1,0,57
