"","female","married","worried_corona","inc_low","edu_high","foreign_born","inactive_worker","rent","age","far_right"
"249",1,1,3,0,1,0,0,0,47,9
"250",1,1,2,0,0,0,0,0,42,18
"251",1,1,4,0,0,0,0,0,51,0
"252",1,0,4,0,1,0,0,1,29,0
"253",0,1,2,0,1,0,0,1,43,18
"254",1,1,3,0,0,0,0,0,55,64
"255",0,1,3,0,1,0,0,0,31,73
"256",1,1,2,0,1,0,1,1,64,73
"257",0,0,3,1,1,0,0,1,53,0
"258",0,1,3,0,0,0,1,0,68,18
"259",1,0,1,1,0,0,0,0,36,0
"260",1,1,2,0,0,0,1,0,59,0
"261",0,0,4,0,1,1,0,1,35,0
"262",0,1,4,0,0,0,1,0,66,9
"263",1,1,4,0,0,0,0,0,55,0
"264",0,1,4,0,0,0,0,0,44,91
"265",0,0,3,1,0,0,1,1,70,27
"266",1,1,3,0,0,0,0,0,59,18
"267",0,1,2,0,0,0,0,0,57,64
"268",0,1,3,0,1,0,0,0,36,36
"269",1,1,2,0,1,0,0,0,28,0
"270",0,1,3,0,1,0,1,0,73,18
"271",0,0,3,0,1,0,0,0,46,18
"272",0,0,3,1,0,0,1,1,70,0
"273",1,1,4,0,0,0,1,1,71,18
"274",0,0,2,0,0,0,1,0,19,27
"275",1,1,2,0,0,0,1,0,57,45
"276",0,0,3,0,0,0,1,0,72,27
"277",0,1,2,0,1,0,0,0,25,64
"278",1,1,3,0,1,0,0,0,40,82
"279",0,1,3,0,0,0,1,0,64,27
"280",0,1,3,0,0,0,0,0,35,0
"281",1,0,4,1,1,0,1,1,75,0
"282",0,1,3,0,1,0,1,0,69,9
"283",1,1,4,0,1,0,0,1,49,0
"284",1,0,2,0,0,0,0,0,48,9
"285",1,0,3,0,1,0,0,0,50,9
"286",1,0,4,0,0,0,0,0,40,0
"287",1,1,4,0,1,0,0,0,58,91
"288",1,1,3,1,0,0,1,1,67,18
"289",0,0,3,0,1,1,0,0,58,9
"290",1,1,2,0,1,0,1,1,55,36
"291",1,1,4,0,1,0,0,0,65,82
"292",0,1,3,0,0,0,1,0,77,0
"293",0,0,3,0,0,0,1,0,22,0
"294",0,0,2,0,1,0,0,0,34,18
"295",1,0,3,0,1,0,0,0,42,0
"296",1,0,3,0,1,0,1,1,48,0
"297",1,1,3,0,0,0,0,0,57,64
"298",1,1,2,0,1,0,0,1,46,0
"299",1,0,4,0,1,0,0,0,40,0
"300",0,1,3,0,1,0,0,0,33,0
"301",0,0,4,1,1,0,0,1,30,9
"302",0,0,2,0,0,0,1,1,33,45
"303",1,1,2,0,0,0,0,0,56,64
"304",0,1,3,0,1,0,0,0,65,55
"305",1,0,4,0,1,0,0,1,36,0
"306",1,0,2,1,0,0,0,1,63,0
"307",0,1,4,0,0,0,1,0,68,9
"308",1,1,4,0,1,1,1,0,75,18
"309",0,1,2,0,0,0,1,0,72,18
"310",0,0,3,0,1,0,1,0,76,0
"311",1,1,1,0,1,0,0,0,48,0
"312",0,0,4,0,1,0,0,0,58,0
"313",0,0,2,1,1,0,1,1,29,0
"314",1,0,2,0,0,0,0,0,38,82
"315",1,0,2,1,0,0,0,1,28,64
"316",0,1,3,0,0,0,1,0,74,45
"317",1,1,2,0,1,0,1,0,60,0
"318",0,1,4,0,0,1,0,1,28,27
"319",1,0,3,1,1,0,0,0,48,0
"320",1,0,2,0,1,0,0,0,51,9
"321",1,1,3,0,0,0,1,0,54,0
"322",1,0,3,0,1,0,0,0,46,73
"323",0,0,3,1,0,0,1,1,69,0
"324",1,1,3,0,0,0,1,0,76,9
"325",0,1,2,0,0,0,1,0,66,0
"326",0,1,1,0,0,0,0,0,36,91
"327",0,0,4,0,1,0,0,0,50,0
"328",1,1,2,1,0,0,1,0,54,91
"329",0,1,4,0,0,0,0,0,54,73
"330",0,1,2,0,1,0,1,0,64,0
"331",0,1,3,0,1,0,1,0,73,82
"332",1,0,2,0,0,0,1,0,72,18
"333",0,0,2,0,0,0,1,1,69,0
"334",1,1,3,0,1,0,0,0,31,73
"335",0,0,1,0,1,0,0,0,56,0
"336",0,1,3,0,1,0,1,0,71,0
"337",0,1,3,0,0,0,1,0,71,64
"338",1,1,3,0,0,0,1,0,69,0
"339",1,0,3,1,1,0,0,1,67,9
"340",0,1,2,0,1,0,1,0,67,9
"341",0,1,3,0,1,0,1,0,71,0
"342",1,1,3,0,1,0,0,0,43,0
